,Search category,value,Subject type
0,Food & Drink,0.0205314486516,PSI
1,Food & Drink,0.0364346990825,PSI
2,Food & Drink,0.0134711779449,PSI
3,Food & Drink,0.0205444273241,PSI
4,Food & Drink,0.02836234934,PSI
5,Food & Drink,0.0229743083004,PSI
6,Food & Drink,0.00928792569659,PSI
7,Food & Drink,0.0435596066203,PSI
8,Food & Drink,0.0348374253484,PSI
9,Food & Drink,0.0658564624733,PSI
10,Food & Drink,0.0164633985723,PSI
11,Food & Drink,0.017473789316,PSI
12,Food & Drink,0.0385053110774,PSI
13,Food & Drink,0.0219189412738,NPSI
14,Food & Drink,0.0726317875545,NPSI
15,Food & Drink,0.0934306569343,NPSI
16,Food & Drink,0.0658779025313,NPSI
17,Food & Drink,0.0418728587743,NPSI
18,Food & Drink,0.0313199105145,NPSI
19,Food & Drink,0.0483654876742,NPSI
20,Food & Drink,0.0601769911504,NPSI
21,Food & Drink,0.075,NPSI
22,Food & Drink,0.0326398852224,NPSI
23,Food & Drink,0.0288043478261,NPSI
24,Food & Drink,0.041312272175,NPSI
25,Food & Drink,0.0355241417294,NPSI
26,Food & Drink,0.0328297171419,NPSI
27,Food & Drink,0.0473684210526,NPSI
28,Food & Drink,0.0,NPSI
29,Food & Drink,0.0744047619048,NPSI
30,Food & Drink,0.0414278892073,NPSI
31,Food & Drink,0.056976744186,NPSI
32,Food & Drink,0.030588707251,NPSI
33,Food & Drink,0.0484581497797,NPSI
34,Food & Drink,0.0217476489028,NPSI
35,Food & Drink,0.0607994625462,NPSI
36,Food & Drink,0.0262729737873,NPSI
37,Food & Drink,0.0365521003819,NPSI
38,Food & Drink,0.0450198898409,NPSI
39,Food & Drink,0.0411143563244,NPSI
40,Food & Drink,0.0317634173056,NPSI
41,Food & Drink,0.0,NPSI
42,Food & Drink,0.0334041320718,NPSI
43,Food & Drink,0.037037037037,NPSI
44,Food & Drink,0.0704225352113,NPSI
45,Food & Drink,0.0334430406625,NPSI
46,Food & Drink,0.0718232044199,NPSI
47,Food & Drink,0.0104814354237,NPSI
48,Food & Drink,0.0918065153011,NPSI
49,Food & Drink,0.0141017780503,NPSI
50,Food & Drink,0.0145695364238,NPSI
51,Food & Drink,0.0767380848273,NPSI
52,Food & Drink,0.0694603174603,NPSI
53,Food & Drink,0.0296128849958,NPSI
54,Travel,0.00146089153867,PSI
55,Travel,0.00132489814845,PSI
56,Travel,0.00093984962406,PSI
57,Travel,0.00154083204931,PSI
58,Travel,0.000526114405969,PSI
59,Travel,0.000926383399209,PSI
60,Travel,0.0,PSI
61,Travel,0.0025905492924,PSI
62,Travel,0.0036496350365,PSI
63,Travel,0.00131384463787,PSI
64,Travel,0.00123804757264,PSI
65,Travel,0.0,PSI
66,Travel,0.00170713201821,PSI
67,Travel,0.000413564929694,NPSI
68,Travel,0.00356718192628,NPSI
69,Travel,0.0043795620438,NPSI
70,Travel,0.00265604249668,NPSI
71,Travel,0.00304529881995,NPSI
