,35fed6a9a0bf1c_labelled,35f96084a59be8_labelled,360eacde42f07c_labelled,360f61a2ebff78_labelled,36102f386840b2_labelled,35fed7c5974de0_labelled,35ff04767aa900_labelled,36312f4bf9d3d6_labelled,35fb0a1ac2e81c_labelled,35fafcced91e3a_labelled,360f70686ed3c2_labelled,360e9521584ce6_labelled,36110ae10c3d3e_labelled,35ffb55217e592_labelled,35777777777777_labelled,3626f804162108_labelled,35fa42ba5190a4_labelled,35818181818181_labelled,35797979797979_labelled,35fef442aba2f8_labelled,35fa37921286fe_labelled,35ffa65213cd1a_labelled,360521efaa3e7e_labelled,3602d0b7f8f7de_labelled,360ea61b204b08_labelled,35fe13b4df2dc8_labelled,360088be33e584_labelled
Business & Industrial,0.05430932703659976,0.024875621890547265,0.03248583098502359,0.024255024255024255,0.029661016949152543,0.025423728813559324,0.01671799384073911,0.027678816114003836,0.04063584462106795,0.042670157068062826,0.025680534155110426,0.0,0.045219786525880865,0.04435483870967742,0.023860811930405967,0.04805077062556664,0.03608494810726498,0.037037037037037035,0.18518518518518517,0.011516071880536573,0.035559827006247,0.015170670037926675,0.01709844559585492,0.022249190938511326,0.022965551672491265,0.07498229461756374,0.046641475382099146
Home & Garden,0.01023219205037387,0.00738371633894022,0.015546338219928443,0.01178101178101178,0.011627906976744186,0.0036319612590799033,0.02067751869775627,0.017539051795012334,0.008171946714429643,0.009162303664921465,0.0030816640986132513,0.0,0.015379318260071159,0.0,0.011184755592377795,0.008763977032336053,0.011848341232227487,0.0,0.037037037037037035,0.004682358896481904,0.012013455069678039,0.0025284450063211127,0.007944732297063902,0.011124595469255663,0.0074887668497254116,0.010534702549575071,0.013028030003947888
Travel,0.01967729240456513,0.01674168838347943,0.031947566728936456,0.0595980595980596,0.03192747339377217,0.018159806295399514,0.024197096348438186,0.02466429158673609,0.036717787977163324,0.05235602094240838,0.03338469440164355,0.07692307692307693,0.03305405715597383,0.016129032258064516,0.07125103562551781,0.01662133575098217,0.01259823624692543,0.037037037037037035,0.0,0.014679827891672994,0.023065833733781835,0.0025284450063211127,0.013471502590673576,0.0186084142394822,0.006490264603095357,0.049486543909348445,0.020923805763916305
Arts & Entertainment,0.18496654860291223,0.16804864566058597,0.21533736503815343,0.24185724185724186,0.1595388253843122,0.12590799031476999,0.27716673999120106,0.2458207728144697,0.09951863875517743,0.14031413612565444,0.2110939907550077,0.0,0.19809480087225984,0.14112903225806453,0.2283347141673571,0.22937443336355395,0.25241466194732737,0.3333333333333333,0.18518518518518517,0.11516071880536573,0.26741950985103313,0.18078381795195955,0.16649395509499137,0.0918284789644013,0.2476285571642536,0.09569759206798867,0.14184197168800405
Sports,0.01652892561983471,0.008489299534075654,0.03096602602665991,0.04643104643104643,0.01891998423334647,0.013317191283292978,0.02067751869775627,0.016168813373526995,0.06201723944923318,0.034031413612565446,0.2295839753466872,0.07692307692307693,0.023068977390106736,0.012096774193548387,0.016818558409279205,0.01783016016923542,0.023966644669746236,0.0,0.0,0.04188812958744621,0.024987986544930323,0.0025284450063211127,0.08652849740932643,0.0956715210355987,0.008487269096355467,0.02903682719546742,0.05166093282950764
Food & Drink,0.01338055883510429,0.029653320698096817,0.03204255453883418,0.07969507969507969,0.03764288529759559,0.009685230024213076,0.05895292564892213,0.046588106330501505,0.023284450912347477,0.08010471204188482,0.02362609142270159,0.07692307692307693,0.051187880179042806,0.08064516129032258,0.022700911350455676,0.028105167724388033,0.02846601475793389,0.07407407407407407,0.0,0.010503669956972918,0.032436328688130706,0.006321112515802781,0.010189982728842832,0.1223705501618123,0.008487269096355467,0.019564447592067987,0.030342338277592917
Pets & Animals,0.0011806375442739079,0.00181631524915107,0.001963081404553082,0.003465003465003465,0.0043358297201418995,0.0,0.009678838539375276,0.004658810633050151,0.0017911116086421135,0.0013089005235602095,0.0005136106831022085,0.0,0.006656719843911397,0.0,0.0034797017398508698,0.0006044122091266244,0.003089567460555522,0.037037037037037035,0.0,0.0010124019235636548,0.0031234983181162904,0.0,0.0029360967184801382,0.0014158576051779936,0.0024962556165751375,0.00141643059490085,0.0012407647622807512
Health,0.014561196379378197,0.026533996683250415,0.02618497292847418,0.023215523215523216,0.03586913677571935,0.07021791767554479,0.06071271447426309,0.05124691696355166,0.01544833762453823,0.07356020942408377,0.015408320493066256,0.15384615384615385,0.03994031906346838,0.06451612903225806,0.08972659486329743,0.02357207615593835,0.019257303977443158,0.1111111111111111,0.0,0.056061756517337386,0.022585295530994715,0.015170670037926675,0.0229706390328152,0.09870550161812297,0.04992511233150274,0.05488668555240793,0.04032485477412442
Shopping,0.021645021645021644,0.020532259338229487,0.06810625969667226,0.033264033264033266,0.03242018131651557,0.04116222760290557,0.06159260888693357,0.05234310770073993,0.0331355647598791,0.03638743455497382,0.02054442732408834,0.0,0.04166188454034202,0.04838709677419355,0.02104391052195526,0.057419159867029314,0.026276321315015897,0.0,0.037037037037037035,0.011895722601872943,0.04276790004805382,0.01390644753476612,0.0770293609671848,0.09931229773462784,0.017473789316025962,0.07418555240793201,0.02966555749816705
Finance,0.008264462809917356,0.013859275053304905,0.02608998511857645,0.02252252252252252,0.04759558533701222,0.01694915254237288,0.005719313682358117,0.012606193477665114,0.02821000783611329,0.0075916230366492145,0.02824858757062147,0.0,0.013772523814989097,0.004032258064516129,0.00811930405965203,0.02206104563312179,0.01832743415921771,0.0,0.14814814814814814,0.013540875727663883,0.010091302258529554,0.0012642225031605564,0.005008635578583765,0.012540453074433657,0.012481278082875686,0.0768413597733711,0.007895775759968417
