,363208454fc9dc_labelled,35f98283c97fa4_labelled,3603a2c8d630e8_labelled,3626f6903354b2_labelled,3605fc6be3d63c_labelled,3631f8a99e58de_labelled,3610ffb257067e_labelled,35faf634ba1e9e_labelled,35f9679e778d20_labelled,36047578a646d8_labelled,35808080808080_labelled,36103c719a02b8_labelled,35f88eac597396_labelled,3631fbac5167d0_labelled,3610e92d3ff426_labelled,360ddfbd854066_labelled,35fd5b83b88b12_labelled,3603b99b42d928_labelled,363463161c01ca_labelled,35fd53a205f032_labelled,35fd568f77d0de_labelled,35fd4f85e6ad56_labelled,360472c2621eaa_labelled,35fed90a9f8324_labelled,35f955ff00cba2_labelled,360ea7d4ca7b3e_labelled,35f9891dbcb4bc_labelled,360518c09b9ff4_labelled,3605480ff725aa_labelled
Business & Industrial,0.03563129357087529,0.02616673843198304,0.03258145363408521,0.07898259705488621,0.021147219782447133,0.03790025124285027,0.2777777777777778,0.041884816753926704,0.029938295116934563,0.02606657738664626,0.027725822422708768,0.043343653250773995,0.022499400335811947,0.03905221588415972,0.04396151293961513,0.06525285481239804,0.0286670165310942,0.028708133971291867,0.055479036967660184,0.03974380029561504,0.04675619981524906,0.04477611940298507,0.0,0.023653614860350128,0.038029925187032416,0.01803921568627451,0.04106776180698152,0.04070145053041784,0.042678300455235206
Home & Garden,0.006429124709527498,0.00847934815011096,0.0072055137844611525,0.024096385542168676,0.009796635362475508,0.01250868658790827,0.0,0.005235602094240838,0.010131789441608897,0.009804859383967858,0.011662449114314006,0.0030959752321981426,0.007819621012233149,0.020952172005265467,0.014100862641008627,0.005437737901033171,0.014825505116767253,0.004784688995215311,0.011624703873064844,0.009032681885367055,0.011156114545583741,0.013992537313432836,0.0,0.007483629560336763,0.00685785536159601,0.009411764705882352,0.00513347022587269,0.02533015804286642,0.010053110773899848
Travel,0.014097598760650658,0.01874730880063595,0.03101503759398496,0.04819277108433735,0.03357881224241605,0.027690169455284117,0.0,0.010471204188481676,0.016911708692008837,0.015544289267266118,0.019694135768511388,0.0030959752321981426,0.04758934996402015,0.03992979376919702,0.017086927670869275,0.05057096247960848,0.04231172920493309,0.03110047846889952,0.043083025728609996,0.017901133191000163,0.028707453989909756,0.06343283582089553,0.0,0.011091808098356274,0.031795511221945134,0.09568627450980392,0.049281314168377825,0.055423251786100886,0.01896813353566009
Arts & Entertainment,0.3123160340821069,0.2532542810771422,0.21585213032581455,0.13654618473895583,0.18789270995203028,0.18672154808360505,0.1111111111111111,0.09947643979057591,0.18206749447703208,0.27047063325043047,0.35207393552646055,0.16408668730650156,0.2853921803789878,0.13492759982448443,0.10915726609157266,0.11963023382272975,0.23655208606664918,0.2942583732057416,0.2119993388794006,0.15798981770405648,0.1659916151495772,0.10727611940298508,0.0,0.21983161833489243,0.1259351620947631,0.2847058823529412,0.24229979466119098,0.11712491881359602,0.11987860394537178
Sports,0.027652982184353216,0.01623000231857176,0.02443609022556391,0.024096385542168676,0.04580771569488548,0.016090233602394824,0.0,0.02617801047120419,0.01660699322008075,0.016022575090874305,0.01738365056661899,0.030959752321981424,0.01443991364835692,0.01645458534444932,0.14051094890510948,0.015225666122892877,0.02499344004198373,0.16507177033492823,0.015481240702991571,0.0395795697158811,0.019754139131670574,0.03451492537313433,0.0,0.01376453294133369,0.03740648379052369,0.02980392156862745,0.017453798767967144,0.043299415457891316,0.07549317147192716
Food & Drink,0.027730441518202944,0.06376072339438905,0.0043859649122807015,0.024096385542168676,0.02479562191743801,0.024162078366386914,0.05555555555555555,0.031413612565445025,0.0881389502551992,0.0350583508704802,0.01749367367147101,0.006191950464396285,0.023650755576876948,0.026875822729267224,0.038487060384870604,0.016856987493202826,0.04250852794542115,0.03110047846889952,0.02655501074320974,0.03054688783051404,0.021672706601293258,0.06343283582089553,0.0,0.03086997193638915,0.022443890274314215,0.027450980392156862,0.048254620123203286,0.09006278415241394,0.01669195751138088
Pets & Animals,0.003020914020139427,0.0020867145838163693,0.0003132832080200501,0.004016064257028112,0.00432403215998919,0.002138237023574063,0.0,0.0,0.0019806505675325665,0.0054046298067725275,0.004841016613488833,0.0030959752321981426,0.005564883665147517,0.0009872751206669592,0.003981420039814201,0.001087547580206634,0.0018367882445552348,0.0,0.0018731750316786954,0.0013138446378715717,0.003055496340510197,0.010261194029850746,0.0,0.011091808098356274,0.0024937655860349127,0.000784313725490196,0.002053388090349076,0.004329941545789132,0.0011380880121396055
Health,0.032765298218435324,0.018482329170944983,0.014097744360902255,0.0321285140562249,0.020809404769947977,0.04126797455497942,0.16666666666666666,0.3089005235602094,0.05827683400624667,0.016548689496843315,0.021674551655847727,0.04024767801857585,0.037035260254257615,0.03345765686704695,0.08974784339747843,0.031538879825992384,0.04178693256363159,0.011961722488038277,0.013002038455181532,0.02414189522089013,0.05585163078234918,0.041044776119402986,0.0,0.042229052519043166,0.040523690773067333,0.023529411764705882,0.04106776180698152,0.032041567438839576,0.027503793626707133
Shopping,0.020604182804027885,0.03643469908250803,0.013471177944862155,0.09236947791164658,0.028646713059928382,0.04848452450954188,0.0,0.04712041884816754,0.049897158528224274,0.028362349339965565,0.02068434371217956,0.009287925696594427,0.04355960662029264,0.06834137779727952,0.03483742534837425,0.03643284393692224,0.04565730779323012,0.04066985645933014,0.028924026224450443,0.06585646247331253,0.021601648546862785,0.03264925373134328,0.0,0.03100360817853802,0.02119700748129676,0.042352941176470586,0.013347022587268994,0.07599047412859926,0.038505311077389984
Finance,0.009372579395817196,0.009638634030008943,0.020676691729323307,0.028112449799196786,0.01729612863995676,0.00876677179665366,0.0,0.06282722513089005,0.011731545669231356,0.005165486894968433,0.009902079436681702,0.006191950464396285,0.005996641880546894,0.021390960947784116,0.024220305242203054,0.07449700924415444,0.01292311729204933,0.004784688995215311,0.014434466420582888,0.01395959927738545,0.03204718254814183,0.0046641791044776115,0.0,0.018441801416544168,0.02119700748129676,0.03764705882352941,0.01642710472279261,0.013855812946525221,0.025606980273141122
Adult,0.011076684740511232,0.0007618164353615316,0.02662907268170426,0.002677376171352075,0.0016215120599959462,0.0022451488747527665,0.0,0.005235602094240838,0.0016759350956044793,0.005548115553854984,0.008251732863901419,0.006191950464396285,0.007387862796833773,0.0028521281263712154,0.0048108825481088255,0.009244154431756389,0.012660718971398583,0.0023923444976076554,0.026665197509779075,0.0008211528986697323,0.001350103034178924,0.002798507462686567,0.0,0.002806361085126286,0.0006234413965087282,0.005490196078431373,0.001026694045174538,0.00043299415457891317,0.0028452200303490135
Beauty & Fitness,0.008675445391169635,0.02186081944950482,0.005952380952380952,0.03480589022757698,0.008512938314978718,0.03239429090714706,0.0,0.020942408376963352,0.02559609964195932,0.013344174478668452,0.01034217185608978,0.0030959752321981426,0.015591268889421923,0.015028521281263712,0.008128732581287325,0.008700380641653072,0.06297559695617948,0.009569377990430622,0.010688116357225497,0.009032681885367055,0.012293043416471257,0.014925373134328358,0.0,0.011759989309100627,0.01059850374064838,0.04862745098039216,0.008213552361396304,0.019917731110630006,0.00853566009104704
News,0.024709527498063516,0.023483819681361994,0.020676691729323307,0.01740294511378849,0.028714276062428216,0.015074571016197146,0.05555555555555555,0.041884816753926704,0.03024301058886265,0.014874689114214655,0.014523049840466498,0.034055727554179564,0.031326457183976975,0.01908731899956121,0.02687458526874585,0.01794453507340946,0.030569404355812124,0.023923444976076555,0.021651699630874332,0.015930366234192805,0.026717828465856606,0.018656716417910446,0.0,0.014699986636375785,0.038029925187032416,0.01647058823529412,0.02566735112936345,0.03896947391210219,0.03528072837632777
Books & Literature,0.005964368706429125,0.02355006458878474,0.009398496240601503,0.006693440428380187,0.007769745287480576,0.025177740952584595,0.0,0.0,0.016911708692008837,0.026305720298450352,0.027065683793596654,0.015479876160990712,0.018949388342528184,0.011189118034225537,0.003981420039814201,0.022294725394236,0.010233534505379166,0.011961722488038277,0.006445925844306099,0.033995730004926915,0.01613017835571662,0.027052238805970148,0.0,0.026994520914071896,0.02369077306733167,0.02588235294117647,0.007186858316221766,0.006278415241394241,0.041350531107739
Online Communities,0.007513555383423702,0.013547083567950714,0.16885964912280702,0.008032128514056224,0.022228227822444428,0.012348318811140215,0.0,0.02617801047120419,0.008227317742058354,0.02114023340348192,0.019033997139399274,0.015479876160990712,0.018757495802350685,0.008117595436594998,0.006469807564698076,0.0478520935290919,0.009971136184728419,0.01674641148325359,0.015536334086276238,0.017408441451798325,0.008811198749378243,0.008395522388059701,0.0,0.02044634504877723,0.009351620947630923,0.01647058823529412,0.006160164271047228,0.010608356787183373,0.007207890743550834
Law & Government,0.01611154144074361,0.020204696763936273,0.013471177944862155,0.0321285140562249,0.008175123302479562,0.016785160635056397,0.0,0.015706806282722512,0.02125390416698408,0.013535488808111727,0.014853119155022555,0.05572755417956656,0.023266970496521946,0.01228609039052216,0.0185799601857996,0.02773246329526917,0.015415901338231435,0.023923444976076555,0.010357556057517493,0.023977664641156183,0.025651957649399558,0.009328358208955223,0.0,0.02726179339836964,0.0529925187032419,0.011764705882352941,0.01642710472279261,0.016670274951288158,0.022382397572078907
Sensitive Subjects,0.009450038729666925,0.005034612964128383,0.0037593984962406013,0.024096385542168676,0.0059455442199851365,0.009408242903725878,0.0,0.0,0.008151138874076331,0.010044002295771954,0.00715150181538123,0.02476780185758514,0.01751019429119693,0.0047169811320754715,0.011778367617783676,0.0032626427406199023,0.015809498819207558,0.0215311004784689,0.003470883146934053,0.00837575956643127,0.012293043416471257,0.0046641791044776115,0.0,0.01042362688761192,0.008728179551122194,0.006274509803921568,0.008213552361396304,0.0019484736956051094,0.015174506828528073
Science,0.11053446940356312,0.08469411413997549,0.03289473684210526,0.06291834002677377,0.03574082832241065,0.10028331640562356,0.0,0.010471204188481676,0.07793098194560828,0.059690070786301896,0.0511607437561888,0.04024767801857585,0.026864955624850084,0.06077226853883282,0.043132050431320505,0.0255573681348559,0.06756756756756757,0.0215311004784689,0.07162139827006776,0.05107571029725735,0.07098699637603922,0.09794776119402986,0.0,0.0772417479620473,0.043017456359102244,0.02666666666666667,0.057494866529774126,0.06559861441870535,0.07682094081942337
Hobbies & Leisure,0.013632842757552286,0.019972839587956676,0.015664160401002505,0.01740294511378849,0.017025876629957436,0.021435826161329982,0.05555555555555555,0.0,0.011503009065285289,0.023101205280275493,0.02244471338981186,0.006191950464396285,0.03770688414487887,0.014041246160596753,0.022395487723954877,0.01631321370309951,0.015284702177906062,0.0215311004784689,0.013002038455181532,0.04220725899162424,0.01627229446457756,0.03731343283582089,0.0,0.050380863290124284,0.01059850374064838,0.013333333333333334,0.018480492813141684,0.037886988525654905,0.008725341426403643
Games,0.07575522850503486,0.02116524792156603,0.015350877192982455,0.025435073627844713,0.038173096412404565,0.015181482867375848,0.0,0.005235602094240838,0.002818618115334806,0.10182705184618328,0.05765210694245792,0.01238390092879257,0.007579755337011274,0.008336989907854322,0.027206370272063702,0.0016313213703099511,0.01121752820781947,0.0215311004784689,0.015371053936422236,0.01395959927738545,0.0726923896823705,0.008395522388059701,0.0,0.023519978618201254,0.004364089775561097,0.02588235294117647,0.008213552361396304,0.012773327560077938,0.02484825493171472
Jobs & Education,0.05484120836560805,0.10887350534927627,0.1275062656641604,0.05622489959839357,0.0371596513749071,0.1282942214144438,0.05555555555555555,0.04712041884816754,0.12310505065894721,0.05184618327912761,0.054461436901749365,0.07739938080495357,0.09378747901175342,0.11474330846862658,0.0577305905773059,0.1408374116367591,0.0694699553922855,0.07177033492822966,0.07228251886948378,0.18640170799802924,0.07695587294819868,0.13899253731343283,0.0,0.10918080983562742,0.1658354114713217,0.05725490196078432,0.06570841889117043,0.06191816410478459,0.11760242792109256
Autos & Vehicles,0.013555383423702556,0.011261634261866119,0.008145363408521303,0.013386880856760375,0.010742517397473143,0.0050783129309884,0.0,0.0,0.007694065666184201,0.007939544671895926,0.0073715480250852675,0.01238390092879257,0.0036939313984168864,0.0055945590171127685,0.009953550099535502,0.005981511691136488,0.007347152978220939,0.0215311004784689,0.009200595008539474,0.004598456232550501,0.009024372912669651,0.010261194029850746,0.0,0.005746358412401443,0.008728179551122194,0.008627450980392156,0.003080082135523614,0.008010391859709894,0.07511380880121396
Computers & Electronics,0.04686289697908598,0.03891888311086085,0.05482456140350877,0.12449799196787148,0.18410918181203972,0.051050408937830756,0.05555555555555555,0.015706806282722512,0.01698788755999086,0.06031184235699254,0.07646605787215315,0.021671826625386997,0.010362197169585032,0.13624396665204036,0.09787657597876576,0.02392604676454595,0.05169246916819732,0.028708133971291867,0.12825739628670596,0.03186073246838561,0.06409436509628366,0.022388059701492536,0.0,0.025123613523987707,0.03366583541147132,0.042352941176470586,0.048254620123203286,0.07490798874215199,0.05026555386949924
People & Society,0.032997676219984506,0.03434798449869166,0.022556390977443608,0.01606425702811245,0.019458144719951356,0.043620035280910886,0.05555555555555555,0.08376963350785341,0.029100327569132323,0.04285440979529367,0.03454725492353394,0.15789473684210525,0.06284480690813145,0.026546731022378235,0.04462508294625083,0.05274605764002175,0.03148779847808974,0.011961722488038277,0.026004076910363064,0.04959763507965183,0.03766076884814894,0.027985074626865673,0.0,0.052519043164506216,0.051745635910224436,0.04784313725490196,0.055441478439425054,0.03615501190733925,0.02940060698027314
Reference,0.059953524399690164,0.09966546321751515,0.06328320802005012,0.024096385542168676,0.07256266468481859,0.09242529534398888,0.1111111111111111,0.06282722513089005,0.14146415784261446,0.10345322364645113,0.06942457916162394,0.2043343653250774,0.1036699448308947,0.12713909609477841,0.06867949568679496,0.10712343665035345,0.07386512726318552,0.05263157894736842,0.06903200925568839,0.09344719986861554,0.12165138918496411,0.10914179104477612,0.0,0.11145262595215823,0.1770573566084788,0.06745098039215686,0.1837782340862423,0.07642346828317818,0.08061456752655538
Internet & Telecom,0.015801704105344695,0.01805173727269716,0.046052631578947366,0.03748326639892905,0.1075602999797311,0.021863473566044796,0.0,0.031413612565445025,0.00982707396968081,0.015209489190740387,0.02145450544614369,0.0030959752321981426,0.024562245142720075,0.029727950855638438,0.028035832780358327,0.048395867319195214,0.020401469430595644,0.02631578947368421,0.07558812186656383,0.015930366234192805,0.017551339444326016,0.043843283582089554,0.0,0.018441801416544168,0.011845386533665835,0.01019607843137255,0.007186858316221766,0.028144620047629357,0.025606980273141122
Real Estate,0.002943454686289698,0.0013248981484548375,0.0009398496240601503,0.004016064257028112,0.00040537801499898656,0.0016036777676805474,0.0,0.0,0.0018282928315685228,0.000526114405969007,0.0006601386291121135,0.0,0.002590549292396258,0.0012066695919262834,0.0036496350364963502,0.02392604676454595,0.0019679874048806087,0.0,0.002369015481240703,0.0013138446378715717,0.003268670503801606,0.0018656716417910447,0.0,0.0025390886008285446,0.0012468827930174563,0.0,0.003080082135523614,0.005195929854946958,0.0017071320182094083
