,35fed6a9a0bf1c_labelled,361044da6b5d9a_labelled,3626f6903354b2_labelled,360eacde42f07c_labelled,36051ecd8c4ca2_labelled,360f61a2ebff78_labelled,35fe072bb73ce2_labelled,36103b2f43f810_labelled,35fafa696f1180_labelled,36102f386840b2_labelled,3605fc6be3d63c_labelled,35fed7c5974de0_labelled,35787878787878_labelled,35fb0a1ac2e81c_labelled,35faf634ba1e9e_labelled,360e9521584ce6_labelled,35fee27f6a26ca_labelled,36110ae10c3d3e_labelled,36104a968d9ee2_labelled,3605f60c751daa_labelled,35ffb55217e592_labelled,35777777777777_labelled,3626f804162108_labelled,35fa42ba5190a4_labelled,360ddfbd854066_labelled,35fd5b83b88b12_labelled,35fa3211bd0a02_labelled,35fd4f85e6ad56_labelled,360472c2621eaa_labelled,35fed90a9f8324_labelled,35797979797979_labelled,35fb0466ef53b6_labelled,3611064f3a7244_labelled,35fd5d66c7e2f0_labelled,35fef442aba2f8_labelled,3600808bcb8f78_labelled,360e93d13eabc4_labelled,35ffa65213cd1a_labelled,360518c09b9ff4_labelled,35fe13b4df2dc8_labelled,360088be33e584_labelled
Business & Industrial,0.05500413564929694,0.03834720570749108,0.07737226277372262,0.03259688518652662,0.06623524933384088,0.02162565249813572,0.02157020364415863,0.023893805309734513,0.031914893617021274,0.02773792443806791,0.021195652173913043,0.02551640340218712,0.028318340370846337,0.04100874701806202,0.042105263157894736,0.0,0.10714285714285714,0.04572588347659981,0.0377906976744186,0.01955671447196871,0.04405286343612335,0.02390282131661442,0.04904266039637219,0.03612533895751732,0.06546644844517185,0.029184516523867807,0.07121995057290496,0.040525739320920046,0.0,0.022784321297547788,0.18518518518518517,0.0,0.033867714194712815,0.01289134438305709,0.010659086871558003,0.01579466929911155,0.022072348252605765,0.01456953642384106,0.040664626147791864,0.07428571428571429,0.04667985306583781
Home & Garden,0.009511993382961124,0.013971462544589775,0.026277372262773723,0.017022817819630567,0.006090597639893415,0.010439970171513796,0.01192390139335477,0.01327433628318584,0.00851063829787234,0.011836441893830704,0.00985054347826087,0.0036452004860267314,0.0053699284009546535,0.008292627513347722,0.005263157894736842,0.0,0.026785714285714284,0.015401146131805158,0.007558139534883721,0.009427339283923378,0.0,0.01195141065830721,0.009405441719852201,0.011871045495631213,0.005455537370430988,0.013502141982864138,0.01617614019321501,0.012048192771084338,0.0,0.006951148870438309,0.037037037037037035,0.0,0.012952542732774179,0.003683241252302026,0.003908331852904601,0.007897334649555774,0.009196811771919068,0.0026490066225165563,0.025360734586794928,0.009015873015873015,0.013054535179429217
Travel,0.018610421836228287,0.09770114942528736,0.051094890510948905,0.037587025634834396,0.05291206699657404,0.058165548098434,0.02639335476956056,0.017699115044247787,0.1699468085106383,0.03598756575801052,0.033627717391304345,0.018226002430133656,0.010693959977969524,0.03691923207997274,0.010526315789473684,0.07692307692307693,0.01488095238095238,0.03247373447946514,0.03255813953488372,0.034199177615083745,0.01762114537444934,0.06504702194357367,0.01645952300974135,0.012564025308827961,0.05073649754500818,0.040200428396572827,0.03370029206919793,0.06900328587075576,0.0,0.008882023556671172,0.0,0.014084507042253521,0.04936829812081962,0.001841620626151013,0.011902647006573104,0.018756169792694965,0.07541385652973635,0.0026490066225165563,0.055531263664188896,0.04050793650793651,0.02068380898558915
Arts & Entertainment,0.17907361455748552,0.14546175188267935,0.13284671532846715,0.2165479496156787,0.18347925390178912,0.23415361670395227,0.2709003215434084,0.16106194690265488,0.1,0.1516021042563367,0.18817934782608695,0.12515188335358446,0.22103910409399669,0.09826195615131206,0.1,0.0,0.09226190476190477,0.1981852913085005,0.16162790697674417,0.1878447497743456,0.13656387665198239,0.22923197492163008,0.22405105811219347,0.252094004218138,0.11947626841243862,0.23240514075887392,0.15906537856661424,0.10843373493975904,0.0,0.22687777563236147,0.18518518518518517,0.6056338028169014,0.13950525533496125,0.35359116022099446,0.11884881861787173,0.2714708785784798,0.13733905579399142,0.18543046357615894,0.11565369479667686,0.09803174603174603,0.1416219270980503
Sports,0.016542597187758478,0.035275465715418154,0.026277372262773723,0.03380417723047205,0.08717167872097449,0.05741983594332588,0.029340836012861738,0.06548672566371681,0.025,0.019249163079866093,0.04551630434782609,0.013365735115431349,0.013126491646778043,0.06111552879700102,0.02631578947368421,0.07692307692307693,0.020833333333333332,0.02304202483285578,0.17093023255813952,0.04442884364657507,0.013215859030837005,0.017143416927899686,0.018810883439704402,0.023922868333835494,0.015275504637206765,0.0236765605875153,0.04448438553134127,0.033953997809419496,0.0,0.01370921027225333,0.0,0.0,0.014757405244718124,0.01841620626151013,0.046011724995558716,0.03652517275419546,0.05702023298589822,0.0026490066225165563,0.04263226934849147,0.02946031746031746,0.05153998304605821
Food & Drink,0.01282051282051282,0.10007927070947285,0.026277372262773723,0.03525292768320657,0.02169775409212029,0.06935123042505593,0.03577170418006431,0.05575221238938053,0.0449468085106383,0.03598756575801052,0.024932065217391303,0.009720534629404616,0.029236276849642005,0.02328751561967511,0.031578947368421054,0.07692307692307693,0.06547619047619048,0.051098376313276024,0.04302325581395349,0.02346805736636245,0.07048458149779736,0.024588557993730407,0.029559959690964057,0.028412172341066588,0.01691216584833606,0.03993268053855569,0.03819366434509099,0.0624315443592552,0.0,0.02741842054450666,0.0,0.0,0.15500583926106806,0.0570902394106814,0.009415526736542904,0.044422507403751234,0.07480073574494175,0.006622516556291391,0.08963707914298208,0.019555555555555555,0.03040406894602995
Pets & Animals,0.0012406947890818859,0.0014863258026159335,0.004379562043795621,0.0019316672703126887,0.00038066235249333843,0.0044742729306487695,0.003215434083601286,0.0,0.002127659574468085,0.003706360593017695,0.004347826086956522,0.0,0.0016981824857719846,0.0018175621947063502,0.0,0.0,0.005952380952380952,0.0065663801337153774,0.0,0.0038110520509477483,0.0,0.003232758620689655,0.0006718172657037286,0.003073214823742091,0.0010911074740861974,0.001950734394124847,0.004268703662098405,0.012048192771084338,0.0,0.010233635837034176,0.0,0.0,0.0021233676611105215,0.009208103130755065,0.00017765144785930004,0.018756169792694965,0.003678724708767627,0.0,0.004372540445999125,0.0013968253968253967,0.0012432890647075445
Health,0.015301902398676593,0.03408640507332541,0.017518248175182483,0.028492092237112156,0.020555767034640272,0.03281133482475764,0.033092175777063235,0.02831858407079646,0.06223404255319149,0.0352702056432329,0.020855978260869566,0.07047387606318348,0.07435285478244906,0.015562876292173122,0.3105263157894737,0.15384615384615385,0.047619047619047616,0.04095033428844317,0.029069767441860465,0.01955671447196871,0.05286343612334802,0.09100705329153605,0.021498152502519314,0.019313046098222358,0.031642116748499725,0.04509638922888617,0.05998651988317232,0.044906900328587074,0.0,0.042479243097123,0.0,0.014084507042253521,0.085571716742754,0.040515653775322284,0.052229525670634214,0.05231984205330701,0.32679337829552424,0.013245033112582781,0.032138172278093576,0.051936507936507934,0.040350381463690306
Shopping,0.021918941273779982,0.07263178755449862,0.09343065693430656,0.06587790253128899,0.041872858774267226,0.03131991051454139,0.048365487674169344,0.06017699115044248,0.075,0.032639885222381634,0.028804347826086957,0.041312272174969626,0.035524141729392326,0.03282971714188345,0.04736842105263158,0.0,0.0744047619047619,0.04142788920725884,0.056976744186046514,0.030588707251027983,0.048458149779735685,0.021747648902821316,0.060799462546187434,0.026272973787285325,0.036552100381887616,0.045019889840881275,0.04111435632442148,0.03176341730558598,0.0,0.03340413207182854,0.037037037037037035,0.07042253521126761,0.03344304066249071,0.0718232044198895,0.010481435423698704,0.09180651530108588,0.014101778050275904,0.01456953642384106,0.07673808482728466,0.06946031746031746,0.029612884995761514
Finance,0.008271298593879239,0.02140309155766944,0.030656934306569343,0.028129904623928528,0.05062809288161401,0.0343027591349739,0.013263665594855305,0.022123893805309734,0.003457446808510638,0.050573888091822096,0.017391304347826087,0.01701093560145808,0.006333761703690105,0.028626604566625014,0.05789473684210526,0.0,0.005952380952380952,0.014326647564469915,0.011627906976744186,0.018252933507170794,0.004405286343612335,0.00832680250783699,0.021834061135371178,0.018379029828261523,0.07474086197490452,0.011857405140758875,0.012132105144911256,0.002190580503833516,0.0,0.020467271674068352,0.14814814814814814,0.0,0.00594542945110946,0.01841620626151013,0.012257949902291704,0.0009871668311944718,0.005518087063151441,0.0013245033112582781,0.013773502404897246,0.07339682539682539,0.007911839502684374
